Tempo de processamento (perf_counter): 1.8002 segundos

         50234 function calls (49020 primitive calls) in 1.815 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:996(_find_new_)
        7    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
       88    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 shared_memory.py:259(ShareableList)
       62    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 selectors.py:568(_can_use)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       28    0.000    0.000    0.000    0.000 _parser.py:176(append)
        1    0.000    0.000    0.000    0.000 threading.py:1057(_set_os_name)
    615/7    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       78    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        8    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
       69    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       30    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:45(add)
        7    0.000    0.000    0.000    0.000 _compiler.py:481(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       44    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 pickle.py:418(_Pickler)
        2    0.000    0.000    0.000    0.000 resource_tracker.py:274(_write)
        7    0.000    0.000    0.000    0.000 enum.py:1426(_iter_member_by_value_)
        2    0.000    0.000    0.000    0.000 threading.py:602(__init__)
       29    0.000    0.000    0.000    0.000 enum.py:68(_is_internal_class)
      102    0.000    0.000    0.000    0.000 enum.py:903(<lambda>)
        1    0.000    0.000    0.000    0.000 tempfile.py:706(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 subprocess.py:306(_args_from_interpreter_flags)
       14    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 threading.py:869(Thread)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 queues.py:33(Queue)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 queues.py:69(_reset)
      2/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 threading.py:290(__init__)
        1    0.000    0.000    0.000    0.000 secrets.py:47(token_hex)
        8    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
        1    0.000    0.000    0.000    0.000 context.py:251(set_start_method)
